Epoch,Time,Heading,,
2016/8/3,06:00:03 AM,2.88,,
2016/8/3,06:00:04 AM,349.19,,
2016/8/3,06:00:05 AM,7.31,,
2016/8/3,06:00:06 AM,341.63,,
2016/8/3,06:00:07 AM,329.19,,
2016/8/3,06:00:08 AM,329.38,,
2016/8/3,06:00:09 AM,189.75,,
2016/8/3,06:00:10 AM,180.38,,
2016/8/3,06:00:11 AM,191.69,,
2016/8/3,06:00:12 AM,185.5,,
2016/8/3,06:00:13 AM,196.94,,
2016/8/3,06:00:14 AM,180.56,,
2016/8/3,06:00:15 AM,183.13,,
2016/8/3,06:00:16 AM,185.94,,
2016/8/3,06:00:17 AM,191.56,,
2016/8/3,06:00:18 AM,192.38,,
2016/8/3,06:00:19 AM,193.31,,
2016/8/3,06:00:20 AM,193.06,,
2016/8/3,06:00:21 AM,195.19,,
2016/8/3,06:00:22 AM,193,,
2016/8/3,06:00:23 AM,197.44,,
2016/8/3,06:00:24 AM,201.19,,
2016/8/3,06:00:25 AM,201.13,,
2016/8/3,06:00:26 AM,201.75,,
2016/8/3,06:00:27 AM,202.25,,
2016/8/3,06:00:28 AM,202.75,,
2016/8/3,06:00:29 AM,202.94,,
2016/8/3,06:00:30 AM,202.94,,
2016/8/3,06:00:31 AM,202.94,,
2016/8/3,06:00:33 AM,204.31,,180
2016/8/3,06:00:34 AM,212.63,,180
2016/8/3,06:00:35 AM,209.06,,180
2016/8/3,06:00:36 AM,208.81,,180
2016/8/3,06:00:37 AM,205.94,,180
2016/8/3,06:00:38 AM,206.94,,180
2016/8/3,06:00:39 AM,207.25,,180
2016/8/3,06:00:40 AM,207.81,,180
2016/8/3,06:00:41 AM,207.75,,180
2016/8/3,06:00:42 AM,207.13,,180
2016/8/3,06:00:43 AM,206.69,,180
2016/8/3,06:00:44 AM,207,,180
2016/8/3,06:00:45 AM,207.44,,180
2016/8/3,06:00:46 AM,206.31,,180
2016/8/3,06:00:47 AM,206.75,,180
2016/8/3,06:00:48 AM,208.19,,180
2016/8/3,06:00:49 AM,209.13,,180
2016/8/3,06:00:50 AM,202.94,,180
2016/8/3,06:00:51 AM,205.5,,180
2016/8/3,06:00:52 AM,207.19,,180
2016/8/3,06:00:53 AM,208.94,,180
2016/8/3,06:00:54 AM,209.75,,180
2016/8/3,06:00:55 AM,206.63,,180
2016/8/3,06:00:56 AM,207.75,,180
2016/8/3,06:00:57 AM,209.25,,180
2016/8/3,06:00:58 AM,214.56,,180
2016/8/3,06:00:59 AM,212.38,,180
2016/8/3,06:01:00 AM,209.06,,180
2016/8/3,06:01:01 AM,208.69,,180
2016/8/3,06:01:02 AM,205.56,,180
2016/8/3,06:01:03 AM,203.81,,180
2016/8/3,06:01:04 AM,201.56,,180
2016/8/3,06:01:05 AM,200.81,,180
2016/8/3,06:01:06 AM,200.63,,180
2016/8/3,06:01:07 AM,203.75,,180
2016/8/3,06:01:08 AM,203.06,,180
2016/8/3,06:01:09 AM,204.31,,180
2016/8/3,06:01:10 AM,203.19,,180
2016/8/3,06:01:11 AM,201.88,,180
2016/8/3,06:01:12 AM,201.44,,180
2016/8/3,06:01:13 AM,200.25,,180
2016/8/3,06:01:14 AM,203.75,,180
2016/8/3,06:01:15 AM,204.13,,180
2016/8/3,06:01:16 AM,204.69,,180
2016/8/3,06:01:17 AM,205.56,,180
2016/8/3,06:01:18 AM,205.38,,180
2016/8/3,06:01:19 AM,206.25,,180
2016/8/3,06:01:20 AM,204.44,,180
2016/8/3,06:01:21 AM,203.88,,180
2016/8/3,06:01:22 AM,206.06,,180
2016/8/3,06:01:23 AM,202.88,,180
2016/8/3,06:01:24 AM,203.38,,180
2016/8/3,06:01:26 AM,201.19,,180
2016/8/3,06:01:27 AM,201.19,,180
2016/8/3,06:01:28 AM,202.88,,180
2016/8/3,06:01:29 AM,202.06,,180
2016/8/3,06:01:30 AM,202.44,,180
2016/8/3,06:01:31 AM,200.94,,180
2016/8/3,06:01:32 AM,201.88,,180
2016/8/3,06:01:33 AM,200.69,,180
2016/8/3,06:01:34 AM,202.81,,180
2016/8/3,06:01:35 AM,203.5,,180
2016/8/3,06:01:36 AM,204.31,,180
2016/8/3,06:01:37 AM,203.88,,180
2016/8/3,06:01:38 AM,204.13,,180
